,ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
106,344.6438293,41.3672485,3.423,4.568,9.98,250.5,53.5,-79.91,5.39,0.0
40,344.5652466,41.2620544,-0.12,-1.743,2.843,232.7,46.8,-213.17,4.62,1.0
69,344.5020142,41.2863045,-2.97,-0.288,3.933,664.4,53.8,-205.95,3.13,1.0
135,344.5644226,41.2729454,-0.157,-1.09,1.831,176.0,58.8,-186.95,7.51,0.99
149,344.5416565,41.2769432,-1.183,-0.85,2.417,224.1,55.7,-213.27,5.45,1.0
13,344.6423035,41.2650833,3.354,-1.562,3.742,256.7,48.1,-89.84,4.57,0.0
31,344.5860291,41.2659721,0.817,-1.508,2.127,443.9,56.5,-195.42,3.44,1.0
125,344.5779114,41.3450851,0.451,3.238,5.431,301.7,52.2,-170.89,4.8,0.77
76,344.4885864,41.3101387,-3.576,1.142,3.954,484.9,54.3,-209.11,6.48,1.0
44,344.5576782,41.2956123,-0.461,0.27,0.534,317.7,55.1,-189.65,4.17,0.99
12,344.6433411,41.22575,3.401,-3.922,5.686,629.3,54.0,-179.53,3.12,0.96
146,344.5443726,41.2400818,-1.061,-3.062,5.603,531.9,56.7,-115.28,4.14,0.0
14,344.6401978,41.2258339,3.259,-3.917,5.641,449.3,52.5,-82.51,3.59,0.0
71,344.5009155,41.3395271,-3.02,2.905,4.402,431.9,59.4,-177.47,4.1,0.93
102,344.4642944,41.1936951,-4.671,-5.845,13.048,430.9,71.3,-43.06,4.71,0.0
109,344.6242371,41.321167,2.54,1.803,5.16,328.5,60.3,-197.67,4.94,1.0
46,344.5569458,41.2984161,-0.494,0.438,0.683,464.8,57.4,-207.8,3.83,1.0
18,344.6179199,41.2789459,2.255,-0.73,2.493,428.7,61.3,-193.96,3.69,1.0
9,344.6639099,41.2431374,4.328,-2.878,5.209,279.1,50.5,-195.36,4.12,1.0
132,344.5658875,41.3878593,-0.091,5.805,9.175,178.1,54.3,-204.03,6.54,1.0
2,344.672821,41.1971664,4.73,-5.637,8.128,804.3,68.0,-3.13,3.34,0.0
87,344.4388428,41.3513069,-5.818,3.612,6.85,101.5,41.4,-187.01,8.07,0.99
82,344.4648743,41.3496399,-4.645,3.512,5.891,253.7,46.1,-180.47,5.92,0.96
36,344.5711365,41.2888603,0.146,-0.135,0.207,117.7,44.7,-206.18,7.87,1.0
147,344.5426331,41.3386955,-1.139,2.855,4.079,395.6,67.1,-186.25,4.37,0.99
133,344.5650024,41.269249,-0.131,-1.312,2.165,247.3,53.7,-202.75,5.34,1.0
129,344.5727234,41.3351402,0.217,2.642,4.331,253.5,57.2,-202.46,4.93,1.0
121,344.5819702,41.3714981,0.634,4.823,8.063,227.3,49.9,-78.92,5.89,0.0
163,344.4882202,41.2512207,-3.592,-2.393,7.09,270.7,57.1,-222.08,4.97,0.98
11,344.6503601,41.2500572,3.717,-2.463,4.468,127.4,42.0,-185.56,6.56,0.99
151,344.5395813,41.2592773,-1.277,-1.91,4.027,217.9,55.8,-173.33,5.63,0.85
28,344.5986633,41.2956963,1.387,0.275,1.968,394.0,60.7,-201.51,3.94,1.0
162,344.4934082,41.277916,-3.358,-0.792,4.895,222.1,59.8,-190.77,5.73,1.0
99,344.488678,41.1946945,-3.572,-5.785,11.927,404.6,58.0,-119.39,4.29,0.0
52,344.5448608,41.3070564,-1.039,0.957,1.471,400.2,59.8,-194.4,4.06,1.0
152,344.5395508,41.2928047,-1.278,0.102,1.524,325.9,54.9,-182.07,4.92,0.97
153,344.5394897,41.2984161,-1.281,0.438,1.414,212.4,57.3,-209.19,6.18,1.0
20,344.6152649,41.2493324,2.135,-2.507,3.623,289.2,51.0,-198.34,4.36,1.0
108,344.6321716,41.3993073,2.897,6.492,12.41,182.3,56.1,-127.01,7.85,0.0
0,344.7047119,41.2029457,6.168,-5.29,8.358,425.0,60.8,-8.17,4.82,0.0
104,344.6567078,41.4075012,4.004,6.983,14.12,475.6,50.2,-104.66,4.46,0.0
159,344.5109253,41.2684174,-2.569,-1.362,4.619,307.2,60.9,-208.43,4.58,1.0
95,344.6997986,41.2482224,5.946,-2.573,6.596,556.5,72.0,-193.45,3.49,1.0
118,344.5889893,41.3750267,0.951,5.035,8.616,340.2,52.7,-40.14,4.62,0.0
103,344.4519653,41.2029724,-5.227,-5.288,12.796,268.6,66.9,-85.16,5.82,0.0
70,344.5010681,41.329277,-3.013,2.29,3.831,432.9,54.5,-195.06,3.7,1.0
157,344.5139465,41.2243042,-2.432,-4.008,8.226,276.7,48.8,-11.59,5.06,0.0
55,344.5391541,41.3093605,-1.296,1.095,1.741,250.7,50.3,-199.85,4.79,1.0
124,344.578949,41.3750839,0.498,5.038,8.314,363.1,57.4,-192.76,4.37,1.0
107,344.632843,41.4096375,2.928,7.112,13.39,268.9,60.8,-110.69,5.57,0.0
80,344.4754028,41.3481674,-4.17,3.423,5.513,125.7,45.5,-197.83,8.0,1.0
83,344.4646606,41.3421936,-4.654,3.065,5.583,264.0,45.5,-195.54,4.67,1.0
168,344.4499207,41.2305565,-5.319,-3.633,10.616,666.0,72.0,-58.59,4.21,0.0
127,344.5756531,41.2695541,0.349,-1.293,1.894,391.0,63.8,-196.62,4.62,1.0
74,344.4907227,41.3085823,-3.479,1.048,3.855,317.4,50.5,-171.15,3.8,0.78
24,344.6067505,41.2875824,1.751,-0.212,2.047,432.6,55.1,-207.31,3.53,1.0
158,344.5126648,41.2882767,-2.49,-0.17,3.236,414.3,63.8,-186.64,4.56,0.99
58,344.5275269,41.3273315,-1.82,2.173,3.133,425.3,53.8,-203.46,3.92,1.0
23,344.6080017,41.2692223,1.808,-1.313,2.252,508.9,56.5,-206.14,3.31,1.0
33,344.5750427,41.2773895,0.322,-0.823,1.178,313.5,52.7,-195.91,4.47,1.0
148,344.5418701,41.2897491,-1.174,-0.082,1.526,752.0,74.6,-195.4,4.13,1.0
72,344.4960327,41.2926941,-3.24,0.095,3.968,232.5,44.3,-196.85,4.51,1.0
3,344.664093,41.1913605,4.337,-5.985,8.489,214.8,54.7,-36.91,5.63,0.0
7,344.670929,41.2325554,4.645,-3.513,5.892,511.1,54.0,-32.86,3.43,0.0
