index,sigmas,mu
1500,2.15964,-329.2398
1501,0.0,-328.58783
1502,0.0,-327.93588
1503,0.0,-327.93588
1504,0.0,-327.93588
1505,1.85112,-327.2839
1506,2.87952,-322.06824
1507,2.36532,-324.0241
1508,3.49656,-321.4163
1509,3.49656,-321.4163
1510,3.49656,-321.4163
1511,2.0568,-322.06824
1512,2.0568,-322.06824
1513,3.49656,-325.32803
1514,3.49656,-325.32803
1515,3.49656,-325.32803
1516,3.49656,-325.32803
1517,3.49656,-325.32803
1518,3.49656,-325.32803
1519,3.0852,-325.32803
1520,3.0852,-325.32803
1521,3.0852,-325.32803
1522,3.0852,-325.32803
1523,3.0852,-325.32803
1524,3.90792,-326.63196
1525,3.90792,-326.63196
1526,3.90792,-326.63196
1527,4.52496,-323.37216
1528,4.31928,-325.32803
1529,5.55336,-318.80844
1530,5.55336,-318.80844
1531,4.83348,-329.89175
1532,4.83348,-329.89175
1533,4.83348,-329.89175
1534,4.83348,-329.89175
1535,5.24484,-322.06824
1536,2.98236,-323.37216
1537,2.98236,-323.37216
1538,2.98236,-323.37216
1539,2.98236,-323.37216
1540,2.36532,-325.32803
1541,2.36532,-325.32803
1542,2.36532,-325.32803
1543,2.36532,-325.32803
1544,4.93632,-329.89175
1545,4.93632,-329.89175
1546,4.93632,-329.89175
1547,4.93632,-329.89175
1548,5.142,-320.7643
1549,4.42212,-320.7643
1550,4.42212,-320.7643
1551,4.42212,-320.7643
1552,4.42212,-320.7643
1553,4.01076,-322.7202
1554,4.01076,-324.6761
1555,4.01076,-324.6761
1556,4.01076,-324.6761
1557,4.93632,-327.93588
1558,4.93632,-327.93588
1559,3.5994,-324.0241
1560,3.5994,-324.0241
1561,3.5994,-324.0241
1562,3.90792,-322.06824
1563,3.90792,-322.06824
1564,3.5994,-324.6761
1565,3.5994,-324.6761
1566,3.5994,-324.6761
1567,3.5994,-324.6761
1568,3.5994,-324.6761
1569,3.5994,-324.6761
1570,3.5994,-324.6761
1571,3.5994,-324.6761
1572,3.5994,-324.6761
1573,4.21644,-325.98
1574,4.21644,-325.98
1575,4.21644,-325.98
1576,4.21644,-325.98
1577,3.18804,-328.58783
1578,3.18804,-328.58783
1579,4.31928,-327.2839
1580,4.31928,-327.2839
1581,4.31928,-327.2839
1582,4.01076,-326.63196
1583,4.01076,-322.7202
1584,4.42212,-325.32803
1585,4.42212,-325.32803
1586,4.42212,-325.32803
1587,5.96472,-324.0241
1588,6.06756,-324.0241
1589,6.06756,-324.0241
1590,6.06756,-324.0241
1591,6.06756,-324.0241
1592,5.96472,-325.98
1593,4.83348,-327.2839
1594,4.83348,-327.2839
1595,5.6562,-325.98
1596,5.6562,-325.98
1597,5.6562,-325.98
1598,3.80508,-325.98
1599,3.80508,-325.98
1600,3.39372,-324.0241
1601,3.39372,-324.0241
1602,3.80508,-322.7202
1603,3.80508,-322.7202
1604,3.49656,-327.2839
1605,3.49656,-327.2839
1606,3.49656,-327.2839
1607,3.49656,-327.2839
1608,3.49656,-327.2839
1609,3.0852,-325.32803
1610,3.0852,-325.32803
1611,4.52496,-324.0241
1612,4.42212,-324.6761
1613,6.58176,-324.0241
1614,5.24484,-322.7202
1615,5.24484,-322.7202
1616,5.24484,-322.7202
1617,5.24484,-322.7202
1618,5.24484,-322.7202
1619,5.24484,-322.7202
1620,5.24484,-322.7202
1621,5.86188,-327.93588
1622,7.30164,-325.98
1623,7.30164,-325.98
1624,9.56412,-325.98
1625,10.18116,-329.2398
1626,9.87264,-327.2839
1627,10.18116,-332.4996
1628,10.18116,-332.4996
1629,10.18116,-326.63196
1630,10.18116,-326.63196
1631,10.07832,-325.32803
1632,10.07832,-325.32803
1633,10.18116,-327.93588
1634,10.07832,-329.89175
1635,10.07832,-329.89175
1636,10.07832,-329.89175
1637,9.56412,-322.7202
1638,7.30164,-324.0241
1639,7.30164,-324.0241
1640,7.1988,-324.0241
1641,7.1988,-324.0241
1642,5.03916,-324.6761
1643,6.89028,-327.2839
1644,6.89028,-327.2839
1645,6.89028,-327.2839
1646,6.89028,-327.2839
1647,6.27324,-326.63196
1648,6.27324,-326.63196
1649,7.09596,-324.0241
1650,7.09596,-324.0241
1651,7.09596,-324.0241
1652,7.09596,-324.0241
1653,7.09596,-324.0241
1654,6.37608,-326.63196
1655,5.55336,-330.54373
1656,5.75904,-322.06824
1657,3.39372,-327.93588
1658,3.39372,-327.93588
1659,3.39372,-327.93588
1660,3.39372,-327.93588
1661,3.39372,-327.93588
1662,3.39372,-327.93588
1663,3.49656,-329.2398
1664,3.49656,-329.2398
1665,3.49656,-325.98
1666,3.49656,-325.98
1667,3.49656,-325.98
1668,1.64544,-326.63196
1669,1.23408,-325.98
1670,1.23408,-325.98
1671,1.23408,-325.98
1672,1.23408,-325.98
1673,1.23408,-325.98
1674,3.0852,-327.93588
1675,4.21644,-329.2398
1676,6.1704,-328.58783
1677,6.1704,-328.58783
1678,7.40448,-322.7202
1679,7.40448,-322.7202
1680,7.40448,-322.7202
1681,7.40448,-322.7202
1682,7.40448,-322.7202
1683,8.43288,-329.2398
1684,8.43288,-329.2398
1685,6.06756,-330.54373
1686,6.06756,-330.54373
1687,6.06756,-330.54373
1688,9.46128,-329.2398
1689,10.18116,-320.11237
1690,8.7414,-322.7202
1691,9.35844,-327.93588
1692,8.33004,-322.7202
1693,9.66696,-321.4163
1694,10.18116,-324.0241
1695,10.18116,-324.0241
1696,10.18116,-327.93588
1697,10.07832,-324.6761
1698,10.07832,-324.6761
1699,10.07832,-324.6761
1700,7.81584,-326.63196
1701,7.81584,-326.63196
1702,8.63856,-329.89175
1703,8.12436,-329.2398
1704,8.12436,-329.2398
1705,8.12436,-329.2398
1706,7.1988,-325.32803
1707,7.1988,-325.32803
1708,5.24484,-327.93588
1709,5.24484,-327.93588
1710,2.87952,-329.2398
1711,2.87952,-329.2398
1712,2.15964,-329.2398
1713,2.15964,-329.2398
1714,2.15964,-329.2398
1715,2.46816,-327.2839
1716,2.46816,-327.2839
1717,2.46816,-327.2839
1718,3.80508,-327.2839
1719,3.80508,-327.2839
1720,2.0568,-328.58783
1721,2.0568,-328.58783
1722,3.5994,-330.54373
1723,3.5994,-330.54373
1724,4.01076,-329.89175
1725,4.01076,-329.89175
1726,4.01076,-329.89175
1727,4.01076,-329.89175
1728,2.0568,-328.58783
1729,0.30852,-324.0241
1730,0.30852,-324.0241
1731,0.30852,-324.0241
1732,0.30852,-324.0241
1733,0.30852,-324.0241
1734,0.30852,-324.0241
1735,0.30852,-324.0241
1736,0.30852,-324.0241
1737,0.30852,-324.0241
1738,0.30852,-324.0241
1739,0.0,-324.6761
1740,0.0,-324.6761
1741,0.0,-320.11237
1742,0.0,-320.11237
1743,0.0,-320.11237
1744,0.0,-320.11237
1745,2.98236,-324.6761
1746,2.98236,-324.6761
1747,2.98236,-324.6761
1748,3.39372,-324.6761
1749,4.01076,-324.6761
1750,3.80508,-328.58783
1751,3.80508,-328.58783
1752,3.80508,-328.58783
1753,2.77668,-328.58783
1754,2.571,-327.93588
1755,2.0568,-330.54373
1756,2.0568,-330.54373
1757,2.0568,-330.54373
1758,1.64544,-325.98
1759,1.64544,-325.98
1760,0.0,-322.06824
1761,0.0,-322.06824
1762,0.0,-329.2398
1763,0.0,-329.2398
1764,0.0,-329.2398
1765,0.0,-329.2398
1766,0.0,-329.2398
1767,2.571,-327.2839
1768,2.571,-325.32803
1769,2.571,-325.32803
1770,2.571,-325.32803
1771,2.571,-325.32803
1772,2.571,-325.32803
1773,3.70224,-326.63196
1774,3.18804,-324.6761
1775,3.18804,-324.6761
1776,3.18804,-324.6761
1777,2.26248,-326.63196
1778,2.26248,-326.63196
1779,4.73064,-326.63196
1780,4.73064,-326.63196
1781,4.73064,-326.63196
1782,4.73064,-326.63196
1783,4.73064,-326.63196
1784,4.73064,-326.63196
1785,5.03916,-327.2839
1786,4.52496,-330.54373
1787,3.5994,-320.11237
1788,2.26248,-320.7643
1789,3.80508,-322.7202
1790,3.80508,-322.7202
1791,3.80508,-322.7202
1792,3.80508,-322.7202
1793,3.70224,-323.37216
1794,3.70224,-323.37216
1795,3.70224,-323.37216
1796,3.70224,-323.37216
1797,3.70224,-323.37216
1798,3.70224,-323.37216
1799,3.70224,-323.37216
1800,6.99312,-324.6761
1801,6.99312,-324.6761
1802,6.99312,-324.6761
1803,6.99312,-324.6761
1804,6.99312,-324.6761
1805,6.99312,-324.6761
1806,6.99312,-324.6761
1807,6.99312,-324.6761
1808,6.99312,-324.6761
1809,6.99312,-324.6761
1810,5.86188,-327.93588
1811,6.27324,-322.06824
1812,6.89028,-321.4163
1813,6.89028,-321.4163
1814,7.09596,-326.63196
1815,6.6846,-322.7202
1816,5.45052,-324.6761
1817,5.45052,-324.6761
1818,5.96472,-329.2398
1819,5.96472,-329.2398
1820,6.47892,-322.06824
1821,8.02152,-320.11237
1822,7.50732,-323.37216
1823,7.50732,-323.37216
1824,7.50732,-323.37216
1825,9.66696,-325.32803
1826,7.91868,-329.2398
1827,8.53572,-327.93588
1828,5.6562,-327.93588
1829,5.6562,-327.93588
1830,7.50732,-329.2398
1831,7.40448,-319.4604
1832,8.53572,-322.7202
1833,8.94708,-319.4604
1834,10.18116,-325.98
1835,10.18116,-325.98
1836,10.18116,-325.98
1837,9.15276,-324.0241
1838,9.15276,-324.0241
1839,9.15276,-324.0241
1840,9.15276,-324.0241
1841,10.18116,-328.58783
1842,10.18116,-328.58783
1843,10.18116,-328.58783
1844,10.18116,-324.6761
1845,10.18116,-324.6761
1846,8.84424,-328.58783
1847,8.84424,-328.58783
1848,8.84424,-328.58783
1849,8.84424,-328.58783
1850,8.84424,-328.58783
1851,8.84424,-328.58783
1852,7.30164,-330.54373
1853,7.30164,-330.54373
1854,8.2272,-326.63196
1855,6.27324,-328.58783
1856,6.27324,-328.58783
1857,6.27324,-328.58783
1858,6.99312,-326.63196
1859,6.99312,-326.63196
1860,6.99312,-326.63196
1861,6.99312,-326.63196
1862,4.6278,-327.93588
1863,4.6278,-327.93588
1864,4.6278,-327.93588
1865,7.30164,-324.0241
1866,7.30164,-324.0241
1867,7.30164,-324.0241
1868,4.6278,-327.2839
1869,3.90792,-324.6761
1870,3.90792,-325.98
1871,4.42212,-325.32803
1872,4.42212,-325.32803
1873,4.42212,-325.32803
1874,4.42212,-325.32803
1875,4.42212,-325.32803
1876,1.43976,-324.6761
1877,1.43976,-324.6761
1878,1.43976,-324.6761
1879,1.43976,-324.6761
1880,2.67384,-322.7202
1881,2.0568,-325.98
1882,2.0568,-325.98
1883,2.0568,-325.98
1884,2.46816,-323.37216
1885,3.0852,-322.06824
1886,4.42212,-325.32803
1887,4.42212,-325.32803
1888,4.42212,-325.32803
1889,4.42212,-325.32803
1890,4.42212,-325.32803
1891,4.42212,-325.32803
1892,4.42212,-325.32803
1893,6.1704,-325.32803
1894,7.09596,-329.2398
1895,7.09596,-329.2398
1896,7.713,-326.63196
1897,6.1704,-327.2839
1898,6.1704,-327.2839
1899,6.1704,-327.2839
1900,6.1704,-327.2839
1901,6.1704,-327.2839
1902,6.1704,-327.2839
1903,6.1704,-327.2839
1904,6.1704,-327.2839
1905,5.45052,-331.84763
1906,3.80508,-328.58783
1907,3.80508,-328.58783
1908,5.142,-326.63196
1909,2.46816,-327.2839
1910,2.46816,-327.2839
1911,2.36532,-325.32803
1912,2.26248,-323.37216
1913,2.26248,-323.37216
1914,2.26248,-323.37216
1915,2.26248,-323.37216
1916,2.26248,-323.37216
1917,2.36532,-321.4163
1918,2.36532,-321.4163
1919,1.74828,-320.11237
1920,1.74828,-320.11237
1921,1.74828,-320.11237
1922,1.23408,-324.0241
1923,2.67384,-325.32803
1924,2.67384,-325.32803
1925,2.67384,-325.32803
1926,2.67384,-325.32803
1927,2.67384,-325.32803
1928,2.67384,-325.32803
1929,4.21644,-325.98
1930,4.01076,-325.98
1931,4.01076,-325.98
1932,4.01076,-325.98
1933,4.01076,-325.98
1934,4.01076,-325.98
1935,3.70224,-324.0241
1936,3.70224,-324.0241
1937,3.70224,-324.0241
1938,5.24484,-326.63196
1939,5.24484,-326.63196
1940,5.24484,-326.63196
1941,5.24484,-326.63196
