,ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
19,9.0147495,51.5315285,0.643,-1.692,3.444,320.3,49.7,-391.9,3.09,1.0
148,9.0467081,51.5875816,1.836,1.672,3.814,441.8,45.8,-377.55,4.01,1.0
170,9.2348747,51.6128349,8.855,3.187,10.91,197.0,38.6,-369.31,4.9,1.0
97,8.9386663,51.5798073,-2.195,1.205,3.26,230.3,45.3,-382.91,4.8,1.0
13,9.0412083,51.5094185,1.63,-3.018,6.253,444.4,54.0,-367.15,4.03,1.0
0,9.1104584,51.5534706,4.214,-0.375,4.28,435.2,53.9,-378.51,4.09,1.0
50,8.8769169,51.5238037,-4.498,-2.155,6.23,515.2,59.2,-387.9,3.92,1.0
164,8.9259996,51.5712204,-2.667,0.69,3.003,260.0,42.1,-376.26,4.7,1.0
117,8.9360418,51.6085014,-2.293,2.927,6.286,390.2,64.5,-358.43,4.35,1.0
51,8.873167,51.5252762,-4.638,-2.067,6.213,420.9,55.4,-370.38,4.04,1.0
182,9.2094584,51.5735016,7.906,0.827,8.077,356.2,52.2,-370.55,4.15,1.0
184,9.1717081,51.5416374,6.498,-1.085,6.851,357.8,45.6,-381.11,4.03,1.0
197,9.0334167,51.5550537,1.34,-0.28,1.452,387.0,46.7,-363.51,4.07,1.0
33,8.9518747,51.5501938,-1.702,-0.572,2.05,419.0,63.6,-369.72,2.48,1.0
146,9.0584164,51.5852509,2.272,1.532,3.814,276.7,39.6,-367.46,4.54,1.0
63,8.7699585,51.5541954,-8.488,-0.332,8.514,366.6,56.0,-362.54,4.46,1.0
189,9.1307497,51.5591125,4.97,-0.037,4.971,481.7,51.6,-353.31,3.96,1.0
213,8.8837919,51.5593872,-4.242,-0.02,4.242,304.3,48.9,-379.24,4.27,1.0
25,8.9949579,51.5211678,-0.095,-2.313,4.628,407.0,51.2,-375.21,2.9,1.0
59,8.8069162,51.5190849,-7.109,-2.438,8.621,357.4,48.3,-380.28,4.19,1.0
87,8.9918337,51.5581093,-0.211,-0.097,0.287,457.4,49.2,-369.39,2.31,1.0
